concept1,concept2,similarity,type
cryptomonnaie,bitcoin,0.94,technologies
streaming,vidéo,0.93,technologies
machine learning,data science,0.95,technologies
disque dur,SSD,0.90,technologies
puce électronique,semi-conducteur,0.89,technologies
écran tactile,tablette,0.92,technologies
câble Ethernet,connexion,0.91,technologies
montre connectée,bracelet connecté,0.93,technologies
cybersécurité,piratage,0.88,technologies
chargeur,adaptateur,0.90,technologies
VPN,sécurité,0.89,technologies
serveur cloud,centre de données,0.94,technologies
réalité virtuelle,casque VR,0.95,technologies
réalité augmentée,lunettes AR,0.92,technologies
processeur,carte graphique,0.91,technologies
logiciel de montage,édition vidéo,0.94,technologies
fibre optique,internet,0.93,technologies
technologie sans fil,connexion Bluetooth,0.91,technologies
application mobile,smartphone,0.94,technologies
énergie solaire,panneau solaire,0.95,technologies
panneau solaire,batterie,0.92,technologies
robot industriel,automatisation,0.94,technologies
caméra de surveillance,sécurité,0.90,technologies
drone,caméra,0.89,technologies
open source,libre accès,0.92,technologies
codec,compression,0.91,technologies
cryptographie,clé de chiffrement,0.95,technologies
cloud gaming,jeu vidéo,0.93,technologies
blockchain,registre,0.92,technologies
datacenter,stockage,0.94,technologies
intelligence artificielle,machine learning,0.95,technologies
modèle de langage,LLM,0.93,technologies
fibre optique,télécommunications,0.91,technologies
imprimante 3D,fabrication additive,0.94,technologies
webcam,visioconférence,0.93,technologies
clé USB,stockage portable,0.92,technologies
SSD,disque dur,0.91,technologies
interface utilisateur,design,0.89,technologies
chatbot,IA,0.93,technologies
cybersécurité,protection,0.92,technologies
modem,routeur,0.90,technologies
montre connectée,bracelet connecté,0.91,technologies
carte graphique,puissance de calcul,0.92,technologies
antenne,réception,0.89,technologies
batterie lithium,charge rapide,0.91,technologies
nanotechnologie,matériaux,0.93,technologies
processeur ARM,architecture,0.92,technologies
microélectronique,semi-conducteurs,0.94,technologies
technologie verte,énergie renouvelable,0.95,technologies
chargeur sans fil,technologie sans contact,0.94,technologies
machine intelligente,algorithme,0.93,technologies
technologie biométrique,empreinte digitale,0.91,technologies
capteur de mouvement,gyroscope,0.92,technologies
wifi 6,connexion rapide,0.90,technologies
internet,batterie,0.25,technologies
ordinateur,fibre optique,0.28,technologies
téléphone,caméra de surveillance,0.23,technologies
logiciel,casque VR,0.20,technologies
robot,chargeur,0.27,technologies
données,bracelet connecté,0.18,technologies
code,imprimante 3D,0.22,technologies
intelligence,modem,0.19,technologies
machine,cryptographie,0.25,technologies
énergie,cloud gaming,0.21,technologies
cloud,puce électronique,0.20,technologies
crypto,visioconférence,0.24,technologies
email,nanotechnologie,0.23,technologies
wifi,registre,0.26,technologies
IA,semi-conducteurs,0.22,technologies
système,compression,0.18,technologies
navigateur,batterie lithium,0.27,technologies
base de données,technologie verte,0.25,technologies
capteur,carte graphique,0.19,technologies
robotique,disque dur,0.24,technologies
impression,antenne,0.21,technologies
microprocesseur,webcam,0.26,technologies
cloud computing,technologie sans contact,0.22,technologies
routeur,écran tactile,0.18,technologies
antivirus,open source,0.23,technologies
chatbot,libre accès,0.20,technologies
API,empreinte digitale,0.19,technologies
drones,design,0.22,technologies
cryptomonnaie,adaptateur,0.26,technologies
streaming,protection,0.24,technologies
machine learning,algorithme,0.18,technologies
disque dur,panneau solaire,0.23,technologies
puce électronique,technologie sans fil,0.20,technologies
écran tactile,capteur thermique,0.25,technologies
câble Ethernet,centre de données,0.21,technologies
montre connectée,cloud gaming,0.24,technologies
cybersécurité,gyroscope,0.22,technologies
chargeur,connexion rapide,0.19,technologies
VPN,système,0.23,technologies
serveur cloud,lunettes AR,0.20,technologies
réalité virtuelle,messagerie,0.18,technologies
réalité augmentée,tablette,0.26,technologies
processeur,stockage portable,0.22,technologies
logiciel de montage,registre,0.19,technologies
fibre optique,édition vidéo,0.21,technologies
technologie sans fil,clé USB,0.20,technologies
application mobile,piratage,0.23,technologies
énergie solaire,moteur de recherche,0.22,technologies
panneau solaire,bracelet connecté,0.19,technologies
physique,chimie,0.92,sciences
biologie,écologie,0.91,sciences
mathématiques,algèbre,0.93,sciences
astronomie,astrophysique,0.95,sciences
géologie,minéralogie,0.90,sciences
informatique,cybersécurité,0.89,sciences
génétique,biotechnologie,0.94,sciences
zoologie,botanique,0.88,sciences
économie,finance,0.91,sciences
psychologie,neurosciences,0.93,sciences
chimie organique,chimie inorganique,0.90,sciences
physique quantique,physique classique,0.87,sciences
anthropologie,sociologie,0.89,sciences
océanographie,hydrologie,0.92,sciences
microbiologie,virologie,0.93,sciences
statistiques,probabilités,0.94,sciences
optique,lumière,0.88,sciences
énergie cinétique,énergie potentielle,0.92,sciences
atomes,molécules,0.94,sciences
climatologie,météorologie,0.91,sciences
paleontologie,archéologie,0.89,sciences
génétique,hérédité,0.95,sciences
électromagnétisme,électricité,0.92,sciences
neurosciences,cerveau,0.94,sciences
éthologie,écologie comportementale,0.91,sciences
mécanique,thermodynamique,0.93,sciences
analyse,dérivée,0.92,sciences
robotique,intelligence artificielle,0.89,sciences
électrochimie,batterie,0.90,sciences
algèbre,théorie des ensembles,0.93,sciences
anatomie,physiologie,0.94,sciences
statistiques,data science,0.91,sciences
optique,fibre optique,0.89,sciences
énergie renouvelable,énergie solaire,0.95,sciences
chimie analytique,chimie organique,0.92,sciences
mécanique des fluides,aérodynamique,0.93,sciences
immunologie,vaccin,0.94,sciences
neurologie,psychologie,0.89,sciences
astrophysique,cosmologie,0.95,sciences
climatologie,effet de serre,0.92,sciences
écologie,biodiversité,0.93,sciences
océanographie,écosystème marin,0.91,sciences
mathématiques,théorie des graphes,0.94,sciences
chimie des matériaux,nanotechnologie,0.89,sciences
génétique,ADN,0.95,sciences
bioinformatique,génomique,0.93,sciences
neurosciences,intelligence artificielle,0.89,sciences
anatomie,pathologie,0.91,sciences
physique des particules,accélérateur,0.93,sciences
hydrologie,cycle de l'eau,0.94,sciences
botanique,plantes,0.95,sciences
énergie thermique,énergie mécanique,0.92,sciences
virologie,vaccin,0.91,sciences
écologie,changements climatiques,0.94,sciences
physique nucléaire,radioactivité,0.93,sciences
chimie industrielle,polymères,0.89,sciences
mathématiques,équation,0.92,sciences
cosmologie,théorie des cordes,0.94,sciences
robotique,capteur,0.91,sciences
physique des solides,semi-conducteurs,0.93,sciences
génétique,génome,0.95,sciences
astronomie,exploration spatiale,0.94,sciences
neurologie,neuroplasticité,0.89,sciences
biologie marine,écosystème,0.93,sciences
géophysique,sismologie,0.91,sciences
chimie théorique,modélisation moléculaire,0.94,sciences
paleontologie,fossiles,0.92,sciences
zoologie,comportement animal,0.93,sciences
thermodynamique,entropie,0.91,sciences
biochimie,protéines,0.94,sciences
biophysique,molécules,0.93,sciences
chimie verte,développement durable,0.91,sciences
psychologie cognitive,mémoire,0.92,sciences
météorologie,prévisions climatiques,0.89,sciences
neurobiologie,système nerveux,0.94,sciences
énergie éolienne,turbine,0.93,sciences
géochimie,éléments chimiques,0.91,sciences
astronomie,galaxies,0.94,sciences
statistiques,analyse prédictive,0.95,sciences
bioéthique,recherche génétique,0.92,sciences
écologie,systèmes naturels,0.91,sciences
physique appliquée,instruments scientifiques,0.93,sciences
archéologie,sites historiques,0.89,sciences
génomique,édition génétique,0.94,sciences
neurologie,neurones,0.91,sciences
biologie cellulaire,organites,0.95,sciences
génétique,hérédité,0.92,sciences
chimie physique,réactions chimiques,0.93,sciences
physique,fossiles,0.20,sciences
biologie,galaxies,0.18,sciences
mathématiques,entropie,0.25,sciences
astronomie,molécules,0.22,sciences
géologie,immunologie,0.19,sciences
informatique,zoologie,0.23,sciences
génétique,statistiques,0.21,sciences
zoologie,neurosciences,0.24,sciences
économie,océanographie,0.20,sciences
psychologie,hydrologie,0.22,sciences
chimie organique,systèmes naturels,0.19,sciences
physique quantique,édition génétique,0.23,sciences
anthropologie,météorologie,0.25,sciences
océanographie,semi-conducteurs,0.20,sciences
microbiologie,piratage,0.18,sciences
statistiques,capteur thermique,0.21,sciences
optique,vaccin,0.19,sciences
énergie cinétique,génome,0.22,sciences
atomes,prévisions climatiques,0.20,sciences
climatologie,protéines,0.23,sciences
paleontologie,data science,0.18,sciences
génétique,instruments scientifiques,0.19,sciences
électromagnétisme,sites historiques,0.21,sciences
neurosciences,développement durable,0.22,sciences
éthologie,galaxies,0.19,sciences
mécanique,protection,0.20,sciences
analyse,neuroplasticité,0.23,sciences
robotique,biodiversité,0.24,sciences
électrochimie,hérédité,0.18,sciences
algèbre,océanographie,0.22,sciences
anatomie,prisme,0.19,sciences
statistiques,cratère,0.20,sciences
optique,banquise,0.25,sciences
énergie renouvelable,fossiles,0.21,sciences
chimie analytique,étoile,0.18,sciences
mécanique des fluides,pelouse,0.22,sciences
immunologie,désert,0.19,sciences
neurologie,marées,0.20,sciences
astrophysique,épine,0.23,sciences
climatologie,bois,0.21,sciences
écologie,humus,0.18,sciences
océanographie,pierre,0.19,sciences
mathématiques,brise,0.22,sciences
chimie des matériaux,arc-en-ciel,0.24,sciences
génétique,coiffeuse,0.20,sciences
bioinformatique,verre,0.19,sciences
neurosciences,miroir,0.18,sciences
anatomie,tasse,0.23,sciences
physique des particules,porte,0.21,sciences
hydrologie,rideaux,0.22,sciences
famille,parents,0.93,societe
amitié,camaraderie,0.92,societe
mariage,union,0.94,societe
enfant,adolescent,0.89,societe
citoyen,habitants,0.91,societe
éducation,apprentissage,0.92,societe
travail,emploi,0.95,societe
communauté,village,0.90,societe
lois,justice,0.94,societe
gouvernement,administration,0.93,societe
éthique,valeurs,0.92,societe
culture,tradition,0.91,societe
religion,croyance,0.94,societe
égalité,liberté,0.95,societe
droits,lois,0.93,societe
diversité,inclusion,0.91,societe
coopération,entraide,0.92,societe
association,organisation,0.90,societe
partenariat,collaboration,0.89,societe
progrès,développement,0.94,societe
environnement,écologie,0.93,societe
discrimination,préjugé,0.92,societe
conflit,désaccord,0.89,societe
égalité,équité,0.94,societe
leadership,influence,0.91,societe
solidarité,unité,0.93,societe
réfugié,migrant,0.90,societe
urbanisation,croissance,0.89,societe
justice,pénalité,0.94,societe
volontariat,bénévolat,0.91,societe
retraite,fin de carrière,0.93,societe
citoyenneté,engagement,0.92,societe
réseaux sociaux,communication,0.90,societe
sécurité,protection,0.95,societe
politique,démocratie,0.94,societe
lois,codes,0.93,societe
patriotisme,nationalisme,0.91,societe
impôts,taxes,0.90,societe
droits humains,justice,0.94,societe
syndicat,travailleurs,0.93,societe
minorité,inégalité,0.91,societe
chômage,emploi,0.92,societe
enfance,jeunesse,0.89,societe
précarité,exclusion,0.91,societe
peuple,nation,0.93,societe
communisme,socialisme,0.92,societe
capitalisme,libéralisme,0.91,societe
criminalité,violence,0.90,societe
rassemblement,manifestation,0.94,societe
association,charité,0.93,societe
volonté,détermination,0.92,societe
intégration,inclusion,0.94,societe
mouvement,revolution,0.91,societe
sécurité sociale,santé,0.89,societe
corruption,malversation,0.92,societe
tolérance,respect,0.93,societe
élections,vote,0.94,societe
liberté,autonomie,0.95,societe
réformes,changement,0.91,societe
noblesse,aristocratie,0.90,societe
progrès,succès,0.94,societe
société,culture,0.92,societe
participation,engagement,0.93,societe
égalité,justice,0.94,societe
inégalité,pauvreté,0.91,societe
inclusion,acceptation,0.90,societe
protection,défense,0.92,societe
entraide,solidarité,0.93,societe
intérêt général,bien commun,0.94,societe
collaboration,équipe,0.89,societe
identité,citoyenneté,0.91,societe
oppression,dictature,0.92,societe
dialogue,discussion,0.94,societe
initiative,projet,0.91,societe
partage,communauté,0.93,societe
opinion,idée,0.90,societe
protection des droits,justice sociale,0.94,societe
exclusion,marginalisation,0.91,societe
modernité,évolution,0.89,societe
engagement,action,0.93,societe
coopération,collaboration,0.92,societe
synergie,travail d'équipe,0.94,societe
soutien,assistance,0.91,societe
migrations,mouvements,0.93,societe
opinion publique,médias,0.90,societe
valeurs morales,principes,0.94,societe
solidarité internationale,aide,0.92,societe
égalité des chances,justice sociale,0.91,societe
réseaux d'entraide,associations,0.93,societe
négociations,accords,0.94,societe
famille,criminalité,0.22,societe
amitié,impôts,0.19,societe
mariage,syndicat,0.20,societe
enfant,nation,0.23,societe
citoyen,corruption,0.21,societe
éducation,manifestation,0.18,societe
travail,minorité,0.22,societe
communauté,exclusion,0.25,societe
lois,patriotisme,0.24,societe
gouvernement,volontariat,0.19,societe
éthique,oppression,0.20,societe
culture,sécurité sociale,0.23,societe
religion,chômage,0.21,societe
égalité,criminalité,0.18,societe
droits,protection,0.19,societe
diversité,noblesse,0.22,societe
coopération,opinion,0.24,societe
association,migrations,0.20,societe
partenariat,dictature,0.23,societe
progrès,marginalisation,0.18,societe
environnement,inégalités,0.21,societe
discrimination,modernité,0.19,societe
conflit,réformes,0.20,societe
égalité,synergie,0.23,societe
leadership,entraide,0.22,societe
solidarité,justice sociale,0.24,societe
réfugié,réseaux sociaux,0.18,societe
urbanisation,initiative,0.21,societe
justice,idéologies,0.19,societe
volontariat,accords,0.20,societe
retraite,valeurs morales,0.23,societe
citoyenneté,dialogue,0.22,societe
réseaux sociaux,soutien,0.24,societe
sécurité,association,0.19,societe
politique,entraide,0.18,societe
lois,coopération,0.21,societe
patriotisme,partage,0.22,societe
impôts,initiative,0.20,societe
droits humains,oppression,0.23,societe
syndicat,médias,0.24,societe
minorité,justice sociale,0.18,societe
chômage,aide,0.21,societe
enfance,engagement,0.22,societe
précarité,modernité,0.19,societe
peuple,mouvement,0.20,societe
communisme,principes,0.23,societe
capitalisme,solidarité internationale,0.22,societe
criminalité,rassemblement,0.24,societe
rassemblement,accords,0.19,societe
association,synergie,0.21,societe
banque,finance,0.93,economie
marché,bourse,0.92,economie
entreprise,startup,0.94,economie
investissement,capital,0.91,economie
revenu,salaire,0.93,economie
épargne,compte bancaire,0.92,economie
commerce,échange,0.95,economie
importation,exportation,0.94,economie
budget,dépenses,0.93,economie
chiffre d'affaires,bénéfice,0.91,economie
action,obligation,0.92,economie
crédit,prêt,0.94,economie
déficit,dette,0.93,economie
inflation,stagnation,0.92,economie
croissance,PIB,0.91,economie
économie mondiale,globalisation,0.94,economie
taxes,impôts,0.93,economie
production,industrie,0.92,economie
consommation,demande,0.91,economie
échange commercial,accord,0.95,economie
entreprise,entrepreneuriat,0.94,economie
bourse,actions,0.93,economie
développement,investissement,0.92,economie
commerce international,accord commercial,0.94,economie
offre,demande,0.93,economie
fiscalité,taxes,0.92,economie
dividende,rendement,0.91,economie
innovation,technologie,0.93,economie
startups,levée de fonds,0.92,economie
capital,investissement,0.94,economie
marché immobilier,logement,0.93,economie
productivité,efficacité,0.91,economie
industrie,usine,0.92,economie
entreprise,management,0.94,economie
revenus,dépenses,0.93,economie
monnaie,cash,0.91,economie
balance commerciale,exportations,0.92,economie
innovation,progrès,0.94,economie
fiscalité,évasion fiscale,0.93,economie
entrepreneuriat,startups,0.92,economie
microfinance,prêt,0.91,economie
budget,comptabilité,0.94,economie
industrie,ressources,0.93,economie
PIB,croissance économique,0.92,economie
importation,produits,0.91,economie
exportation,marchandises,0.93,economie
croissance,emploi,0.94,economie
inflation,taux d'intérêt,0.92,economie
monopole,concurrence,0.91,economie
capital humain,formation,0.93,economie
actionnaires,investisseurs,0.92,economie
marché du travail,emploi,0.94,economie
revenus,fiscalité,0.93,economie
comptabilité,bilan,0.92,economie
commerce électronique,site marchand,0.91,economie
marché financier,actions,0.93,economie
croissance,prospérité,0.94,economie
banque centrale,taux directeur,0.92,economie
ressources,exploitation,0.91,economie
subventions,aides,0.93,economie
économie circulaire,recyclage,0.92,economie
entreprises multinationales,globalisation,0.94,economie
échange commercial,logistique,0.93,economie
budget national,politique fiscale,0.91,economie
épargne,retraite,0.92,economie
chômage,emploi,0.93,economie
revenus passifs,investissements,0.94,economie
startups,technologies,0.91,economie
banque privée,patrimoine,0.92,economie
assurance,prévoyance,0.93,economie
marché de l'emploi,offres,0.94,economie
taxes,régulation,0.92,economie
concurrence,développement,0.91,economie
bilan financier,audit,0.93,economie
logistique,transport,0.94,economie
croissance économique,investissements,0.92,economie
monnaie,cryptomonnaie,0.91,economie
diversification,risques,0.94,economie
innovation,révolution industrielle,0.93,economie
banques d'investissement,placements,0.92,economie
ressources naturelles,exploitation,0.91,economie
import-export,commerce,0.94,economie
revenus,taux d'imposition,0.93,economie
industrie automobile,robotisation,0.92,economie
prêt hypothécaire,immobilier,0.91,economie
fiscalité,déclarations,0.94,economie
emploi,carrière,0.93,economie
marché numérique,technologies,0.92,economie
taux d'intérêt,épargne,0.91,economie
banque centrale,monnaie,0.94,economie
actionnaire,bénéfice,0.93,economie
croissance durable,énergie verte,0.92,economie
marché,offre,0.91,economie
banque,commerce électronique,0.24,economie
marché,industrie automobile,0.22,economie
entreprise,ressources naturelles,0.21,economie
investissement,économie circulaire,0.23,economie
revenu,cryptomonnaie,0.20,economie
épargne,robotisation,0.19,economie
commerce,banque centrale,0.25,economie
importation,fiscalité,0.22,economie
budget,innovation,0.24,economie
chiffre d'affaires,marché du travail,0.21,economie
action,prévoyance,0.20,economie
crédit,logistique,0.23,economie
déficit,assurance,0.24,economie
inflation,startups,0.18,economie
croissance,ressources naturelles,0.22,economie
économie mondiale,taux d'imposition,0.19,economie
taxes,déclarations,0.20,economie
production,diversification,0.21,economie
